application_id,application_date,age,gender,marital_status,dependents,education_level,location_tier,years_at_address,residence_owned,employment_type,employment_tenure_months,monthly_income,annual_income,income_stability_score,income_volatility,industry_stability_score,employer_verified,has_bank_account,avg_bank_balance,balance_to_income_ratio,savings_rate,existing_debt_amount,debt_to_income_ratio,utility_payment_regularity,utility_payment_delay_count,utility_longest_streak_months,utility_avg_amount,rent_payment_punctuality,rent_tenure_months,rent_amount,overall_payment_score,upi_transaction_count_monthly,upi_avg_transaction_amount,upi_merchant_diversity,upi_consistency_score,savings_to_spending_ratio,digital_footprint_score,social_media_verified,alternative_data_count,loan_amount,loan_to_income_ratio,loan_purpose,repayment_period_months,loan_repaid,loan_defaulted,true_credit_score
APP-000000,2025-03-13 11:59:31.954082,39.96714153011233,male,single,2,3,1,0.5087888757438155,1,self-employed,3.0,108223.5008281943,1298682.0099383316,71.41561016440492,0.1916145155592091,60.72045730035308,1,1,157776.2056470378,1.457873793026792,100.0,360359.4273043548,0.2774808802668073,82.39544491845015,1,31,3295.835055926347,77.30961090313063,6.105466508925786,18401.499210280454,79.8525279107904,74,1084.2892970704363,16,72.65991362132695,0.22998205344476408,49.76396544853078,0,4,150000,0.11550171547161327,medical,24,1,0,863.9361547850353
APP-000001,2025-05-21 11:59:31.954291,22.0,male,married,0,5,3,2.8059990619488304,0,salaried,6.730605071186991,54878.86947389596,658546.4336867515,98.07993967056001,0.24312640661491186,88.29390718407615,1,1,28891.48993717323,0.526459276842719,52.645927684271896,21440.540783183304,0.03255737133546129,48.056382156080076,4,19,4727.961206236347,47.27860572561753,33.67198874338597,19262.878834017694,47.6674939408488,102,869.7089110510541,30,43.49561847194535,0.11859400184670083,50.69824738877814,0,4,50000,0.07592479048149144,home,36,1,0,865.927573661266
APP-000002,2025-09-14 11:59:31.954365,43.817610389486106,male,single,1,5,1,0.9496813296264771,0,salaried,63.524083148673625,76756.4995020192,921077.9940242304,86.05682117437286,0.15853921663164972,64.93234787411669,1,1,93879.01496547819,1.2230757730556556,100.0,22888.98577792616,0.024850214559923606,68.25065990950831,2,27,3075.397185632818,65.2402364783619,11.396175955517725,22672.75823988509,66.7454481939351,0,0.0,0,0.0,0.0,0.0,1,4,150000,0.16285265848621938,education,60,0,1,739.2606575245042
APP-000003,2025-12-25 11:59:31.954429,30.2082576215471,female,married,1,4,3,3.9236273518732228,0,self-employed,36.53601692133672,123834.06151505634,1486008.738180676,69.6110089522673,0.07391884918766034,84.96356755280482,0,1,144278.94966572963,1.1650990680636564,100.0,278020.9400432777,0.18709239918983206,35.7714966763028,6,14,2323.6742809799134,33.87589218539354,47.08352822247868,18818.97699148427,34.82369443084817,58,1517.1413823294056,23,37.69646137369993,0.13007935792206787,37.57858454947997,0,4,50000,0.033647177647969366,medical,12,0,1,536.2033338686372
APP-000004,2025-07-24 11:59:31.954501,38.57112571511746,female,married,0,5,1,0.5274250755001886,0,self-employed,95.57820309170249,128893.24175208587,1546718.9010250305,71.86765259114594,0.22429211803754356,88.128522691469,1,1,46555.99176038679,0.36119808244045015,36.11980824404502,460179.2910814734,0.2975196661633259,78.73976494088322,1,31,2683.805487625825,79.00433041232097,6.329100906002263,21906.251020682383,78.8720476766021,0,0.0,0,0.0,0.0,0.0,1,4,300000,0.19395896681755562,vehicle,24,0,1,438.37005395904777
APP-000005,2025-11-12 11:59:31.954565,35.05113456642461,female,married,1,6,2,0.5,0,self-employed,14.828708875047568,158092.07417341485,1897104.8900809782,67.52484104829057,0.15375812434867323,84.60566356133123,1,1,96290.94871673685,0.6090814433310116,60.908144333101156,614524.1804076707,0.32392736090698687,75.27153142675498,1,29,2110.6608420635985,76.32142727053116,6.0,16545.543394890643,75.79647934864306,38,1057.292928473223,23,72.791338685635,0.3949776589387103,48.616535474254,0,4,100000,0.052711898283985495,business,60,0,1,718.7791308069972
APP-000006,2025-09-19 11:59:31.954628,38.015473423336125,male,single,2,5,3,3.9082467854769485,0,self-employed,16.506820773514946,109553.64136529375,1314643.696383525,71.86941595065252,0.15715493681495168,63.16014195190429,1,1,139069.9661831749,1.2694234938249331,100.0,140570.4967801967,0.10692668832391194,75.10662231648838,1,29,3935.5183712283497,71.3218123126451,46.898961425723385,19745.94154774192,73.21421731456674,122,1182.132702100517,24,80.17715774752708,0.3570687736833434,64.77086309901082,0,4,100000,0.07606623777613025,medical,36,0,1,672.9459494291222
APP-000007,2025-04-10 11:59:31.954677,45.43860610918658,female,married,1,4,1,0.8306311363137094,1,salaried,3.5181410570978664,105562.06366184955,1266744.7639421946,97.20752502893995,0.17662029145465358,71.86604268670453,0,0,0.0,0.0,0.0,147453.13338635644,0.11640319153755363,71.47388997581464,2,28,4695.662565581238,73.40876296286987,9.967573635764513,8156.349877482704,72.44132646934226,0,0.0,0,0.0,0.0,0.0,1,3,50000,0.03947125058121152,debt,60,1,0,769.4897602721591
APP-000008,2025-04-04 11:59:31.954716,47.1707079698011,male,married,1,4,2,0.5259474483125972,0,self-employed,28.64512246100154,104497.62457157663,1253971.4948589196,72.12745763303641,0.09485386189211197,84.92627274716375,1,1,45158.51496242331,0.4321487224955201,43.21487224955201,136013.98197580606,0.10846656605308924,68.8464531470524,2,25,2281.0243034842774,65.12841201033739,6.3113693797511665,12508.440250589332,66.9874325786949,0,0.0,0,0.0,0.0,0.0,1,4,100000,0.07974662933725674,debt,36,1,0,766.4306794183686
APP-000009,2025-03-12 11:59:31.954755,34.228982905858956,female,single,3,4,2,2.580467707924755,1,freelancer,24.418563600300963,43693.2754567328,524319.3054807936,62.66942538313807,0.10615447248817117,60.851058825100885,1,1,43853.245900339556,1.003661214270035,100.0,30954.18280664513,0.05903689313568298,84.81646774400157,1,30,4559.028366402081,76.11702875085831,30.96561249509706,14546.661386232729,80.46674824742993,129,1133.8440103125554,30,79.95099385372417,0.24952140953127777,69.33039754148966,1,5,50000,0.09536173754683835,debt,36,1,0,856.337346506359
